franchise,revenue_category,revenue,year_created,original_media,creators,owners
Marvel Cinematic Universe  (MCU),VOD,5,2008,Film,Marvel Studios,Walt Disney Studios (The Walt Disney Company) (franchise) Sony (Spider-Man films)
Marvel Cinematic Universe  (MCU),라이선싱,7,2008,Film,Marvel Studios,Walt Disney Studios (The Walt Disney Company) (franchise) Sony (Spider-Man films)
Marvel Cinematic Universe  (MCU),영화,22,2008,Film,Marvel Studios,Walt Disney Studios (The Walt Disney Company) (franchise) Sony (Spider-Man films)
Mickey Mouse & Friends,VOD,0.28,1928,Animated cartoon,Walt Disney Ub Iwerks,The Walt Disney Company
Mickey Mouse & Friends,라이선싱,73,1928,Animated cartoon,Walt Disney Ub Iwerks,The Walt Disney Company
Mickey Mouse & Friends,영화,0.457,1928,Animated cartoon,Walt Disney Ub Iwerks,The Walt Disney Company
Middle-earth  (The Lord of the Rings),VOD,4,1937,Novel,J. R. R. Tolkien,Tolkien Estate (books) Warner Bros. (AT&T) (films)
Middle-earth  (The Lord of the Rings),게임,0.062,1937,Novel,J. R. R. Tolkien,Tolkien Estate (books) Warner Bros. (AT&T) (films)
Middle-earth  (The Lord of the Rings),라이선싱,0.66,1937,Novel,J. R. R. Tolkien,Tolkien Estate (books) Warner Bros. (AT&T) (films)
Middle-earth  (The Lord of the Rings),서적,9,1937,Novel,J. R. R. Tolkien,Tolkien Estate (books) Warner Bros. (AT&T) (films)
Middle-earth  (The Lord of the Rings),영화,5,1937,Novel,J. R. R. Tolkien,Tolkien Estate (books) Warner Bros. (AT&T) (films)
Naruto,VOD,0.10400000000000001,1999,Manga,Masashi Kishimoto,Masashi Kishimoto  Shueisha (Hitotsubashi Group) (manga)Pierrot (anime)  Bandai Namco (games)
Naruto,게임,0.603,1999,Manga,Masashi Kishimoto,Masashi Kishimoto  Shueisha (Hitotsubashi Group) (manga)Pierrot (anime)  Bandai Namco (games)
Naruto,라이선싱,1,1999,Manga,Masashi Kishimoto,Masashi Kishimoto  Shueisha (Hitotsubashi Group) (manga)Pierrot (anime)  Bandai Namco (games)
Naruto,만화,7,1999,Manga,Masashi Kishimoto,Masashi Kishimoto  Shueisha (Hitotsubashi Group) (manga)Pierrot (anime)  Bandai Namco (games)
Naruto,영화,0.147,1999,Manga,Masashi Kishimoto,Masashi Kishimoto  Shueisha (Hitotsubashi Group) (manga)Pierrot (anime)  Bandai Namco (games)
Neon Genesis Evangelion,VOD,0.848,1994,Anime,Hideaki Anno Gainax Tatsunoko Production,Khara[dk][283][284]
Neon Genesis Evangelion,게임,11.03,1994,Anime,Hideaki Anno Gainax Tatsunoko Production,Khara[dk][283][284]
Neon Genesis Evangelion,라이선싱,2,1994,Anime,Hideaki Anno Gainax Tatsunoko Production,Khara[dk][283][284]
Neon Genesis Evangelion,만화,0.18,1994,Anime,Hideaki Anno Gainax Tatsunoko Production,Khara[dk][283][284]
Neon Genesis Evangelion,영화,0.198,1994,Anime,Hideaki Anno Gainax Tatsunoko Production,Khara[dk][283][284]
Neon Genesis Evangelion,음악,0.981,1994,Anime,Hideaki Anno Gainax Tatsunoko Production,Khara[dk][283][284]
One Piece,VOD,1,1997,Manga,Eiichiro Oda,Eiichiro Oda  Shueisha (Hitotsubashi Group) (manga)Toei Animation (anime)Bandai Namco (games)
One Piece,게임,1,1997,Manga,Eiichiro Oda,Eiichiro Oda  Shueisha (Hitotsubashi Group) (manga)Toei Animation (anime)Bandai Namco (games)
One Piece,라이선싱,5,1997,Manga,Eiichiro Oda,Eiichiro Oda  Shueisha (Hitotsubashi Group) (manga)Toei Animation (anime)Bandai Namco (games)
One Piece,만화,10,1997,Manga,Eiichiro Oda,Eiichiro Oda  Shueisha (Hitotsubashi Group) (manga)Toei Animation (anime)Bandai Namco (games)
One Piece,영화,0.433,1997,Manga,Eiichiro Oda,Eiichiro Oda  Shueisha (Hitotsubashi Group) (manga)Toei Animation (anime)Bandai Namco (games)
Pac-Man,게임,14,1980,Video game,Toru Iwatani Namco,Bandai Namco Entertainment (Bandai Namco Holdings)
Pac-Man,라이선싱,1,1980,Video game,Toru Iwatani Namco,Bandai Namco Entertainment (Bandai Namco Holdings)
Pac-Man,음악,0.032,1980,Video game,Toru Iwatani Namco,Bandai Namco Entertainment (Bandai Namco Holdings)
Peanuts,VOD,0.035,1950,Comic strip,Charles M. Schulz,Sony Music Entertainment Japan (Sony Corporation) DHX Media
Peanuts,라이선싱,18,1950,Comic strip,Charles M. Schulz,Sony Music Entertainment Japan (Sony Corporation) DHX Media
Peanuts,영화,0.25,1950,Comic strip,Charles M. Schulz,Sony Music Entertainment Japan (Sony Corporation) DHX Media
Pokémon,VOD,0.863,1996,Video game,Satoshi Tajiri Ken Sugimori,"Nintendo (trademark) The Pokémon Company (Nintendo, Game Freak, Creatures) (copyright)"
Pokémon,게임,27,1996,Video game,Satoshi Tajiri Ken Sugimori,"Nintendo (trademark) The Pokémon Company (Nintendo, Game Freak, Creatures) (copyright)"
Pokémon,라이선싱,64,1996,Video game,Satoshi Tajiri Ken Sugimori,"Nintendo (trademark) The Pokémon Company (Nintendo, Game Freak, Creatures) (copyright)"
Pokémon,만화,1,1996,Video game,Satoshi Tajiri Ken Sugimori,"Nintendo (trademark) The Pokémon Company (Nintendo, Game Freak, Creatures) (copyright)"
Pokémon,영화,1,1996,Video game,Satoshi Tajiri Ken Sugimori,"Nintendo (trademark) The Pokémon Company (Nintendo, Game Freak, Creatures) (copyright)"
Sailor Moon,VOD,0.546,1991,Manga,Naoko Takeuchi,Naoko Takeuchi Kodansha (manga)Toei Animation (anime)
Sailor Moon,게임,0.21,1991,Manga,Naoko Takeuchi,Naoko Takeuchi Kodansha (manga)Toei Animation (anime)
Sailor Moon,라이선싱,13,1991,Manga,Naoko Takeuchi,Naoko Takeuchi Kodansha (manga)Toei Animation (anime)
Sailor Moon,만화,0.521,1991,Manga,Naoko Takeuchi,Naoko Takeuchi Kodansha (manga)Toei Animation (anime)
Sailor Moon,영화,0.042,1991,Manga,Naoko Takeuchi,Naoko Takeuchi Kodansha (manga)Toei Animation (anime)
Space Invaders,게임,13,1978,Video game,Tomohiro Nishikado,Taito (Square Enix)
Spider-Man,TV,0.88,1962,Comic book,Stan Lee Steve Ditko,Marvel Entertainment (The Walt Disney Company) (franchise) Sony (films)
Spider-Man,VOD,1.15,1962,Comic book,Stan Lee Steve Ditko,Marvel Entertainment (The Walt Disney Company) (franchise) Sony (films)
Spider-Man,게임,1.308,1962,Comic book,Stan Lee Steve Ditko,Marvel Entertainment (The Walt Disney Company) (franchise) Sony (films)
Spider-Man,라이선싱,15,1962,Comic book,Stan Lee Steve Ditko,Marvel Entertainment (The Walt Disney Company) (franchise) Sony (films)
Spider-Man,만화,1,1962,Comic book,Stan Lee Steve Ditko,Marvel Entertainment (The Walt Disney Company) (franchise) Sony (films)
Spider-Man,영화,7,1962,Comic book,Stan Lee Steve Ditko,Marvel Entertainment (The Walt Disney Company) (franchise) Sony (films)
Spider-Man,음악,0.212,1962,Comic book,Stan Lee Steve Ditko,Marvel Entertainment (The Walt Disney Company) (franchise) Sony (films)
SpongeBob SquarePants,라이선싱,14,1999,Animated series,Stephen Hillenburg,Nickelodeon
SpongeBob SquarePants,영화,0.465,1999,Animated series,Stephen Hillenburg,Nickelodeon
Star Trek,TV,2,1966,Television series,Gene Roddenberry,CBS Corporation Paramount Pictures
Star Trek,VOD,1.326,1966,Television series,Gene Roddenberry,CBS Corporation Paramount Pictures
Star Trek,라이선싱,4,1966,Television series,Gene Roddenberry,CBS Corporation Paramount Pictures
Star Trek,영화,2,1966,Television series,Gene Roddenberry,CBS Corporation Paramount Pictures
Star Wars,TV,0.28,1977,Film,George Lucas,Lucasfilm (The Walt Disney Company)
Star Wars,VOD,9,1977,Film,George Lucas,Lucasfilm (The Walt Disney Company)
Star Wars,게임,4,1977,Film,George Lucas,Lucasfilm (The Walt Disney Company)
Star Wars,라이선싱,42,1977,Film,George Lucas,Lucasfilm (The Walt Disney Company)
Star Wars,서적,1,1977,Film,George Lucas,Lucasfilm (The Walt Disney Company)
Star Wars,영화,10,1977,Film,George Lucas,Lucasfilm (The Walt Disney Company)
Street Fighter,게임,11.017,1987,Video game,Takashi Nishiyama  Hiroshi Matsumoto,Capcom
Street Fighter,영화,0.211,1987,Video game,Takashi Nishiyama  Hiroshi Matsumoto,Capcom
Street Fighter,음악,0.007,1987,Video game,Takashi Nishiyama  Hiroshi Matsumoto,Capcom
Super Sentai  (Power Rangers),VOD,0.015,1975,Television series,Shotaro Ishinomori Haim Saban Shuki Levy,Toei Company Hasbro
Super Sentai  (Power Rangers),라이선싱,29,1975,Television series,Shotaro Ishinomori Haim Saban Shuki Levy,Toei Company Hasbro
Super Sentai  (Power Rangers),영화,0.218,1975,Television series,Shotaro Ishinomori Haim Saban Shuki Levy,Toei Company Hasbro
Superman,TV,0.428,1938,Comic book,Jerry Siegel Joe Shuster,DC Entertainment (AT&T)
Superman,VOD,0.639,1938,Comic book,Jerry Siegel Joe Shuster,DC Entertainment (AT&T)
Superman,게임,0.034,1938,Comic book,Jerry Siegel Joe Shuster,DC Entertainment (AT&T)
Superman,라이선싱,9,1938,Comic book,Jerry Siegel Joe Shuster,DC Entertainment (AT&T)
Superman,만화,1.087,1938,Comic book,Jerry Siegel Joe Shuster,DC Entertainment (AT&T)
Superman,영화,3,1938,Comic book,Jerry Siegel Joe Shuster,DC Entertainment (AT&T)
Teenage Mutant Ninja Turtles,VOD,0.315,1984,Comic book,Kevin Eastman Peter Laird,Nickelodeon
Teenage Mutant Ninja Turtles,게임,0.45,1984,Comic book,Kevin Eastman Peter Laird,Nickelodeon
Teenage Mutant Ninja Turtles,라이선싱,13,1984,Comic book,Kevin Eastman Peter Laird,Nickelodeon
Teenage Mutant Ninja Turtles,영화,1,1984,Comic book,Kevin Eastman Peter Laird,Nickelodeon
The Lion King,VOD,1,1994,Animated film,Roger Allers Rob Minkoff,The Walt Disney Company
The Lion King,라이선싱,3,1994,Animated film,Roger Allers Rob Minkoff,The Walt Disney Company
The Lion King,영화,2,1994,Animated film,Roger Allers Rob Minkoff,The Walt Disney Company
The Lion King,음악,8,1994,Animated film,Roger Allers Rob Minkoff,The Walt Disney Company
The Simpsons,TV,6,1987,Animated series,Matt Groening,20th Century Fox (The Walt Disney Company)
The Simpsons,VOD,1,1987,Animated series,Matt Groening,20th Century Fox (The Walt Disney Company)
The Simpsons,라이선싱,7,1987,Animated series,Matt Groening,20th Century Fox (The Walt Disney Company)
The Simpsons,영화,0.527,1987,Animated series,Matt Groening,20th Century Fox (The Walt Disney Company)
Toy Story,VOD,0.54,1995,Animated film,Pixar,The Walt Disney Company
Toy Story,라이선싱,17,1995,Animated film,Pixar,The Walt Disney Company
Toy Story,영화,2,1995,Animated film,Pixar,The Walt Disney Company
Transformers,VOD,0.74,1984,Animated series,Takara Hasbro Nobuyuki Okude,Hasbro Takara Tomy
Transformers,라이선싱,12,1984,Animated series,Takara Hasbro Nobuyuki Okude,Hasbro Takara Tomy
Transformers,영화,4,1984,Animated series,Takara Hasbro Nobuyuki Okude,Hasbro Takara Tomy
Ultraman,VOD,0.275,1966,Television series,Eiji Tsuburaya,Tsuburaya Productions (Bandai Namco Holdings)
Ultraman,게임,0.967,1966,Television series,Eiji Tsuburaya,Tsuburaya Productions (Bandai Namco Holdings)
Ultraman,라이선싱,10,1966,Television series,Eiji Tsuburaya,Tsuburaya Productions (Bandai Namco Holdings)
Warcraft,VOD,0.017,1994,Video game,Allen Adham  Frank Pearce Michael Morhaime,Blizzard Entertainment (Activision Blizzard)
